index,BriCond,BriLen,chainage,lat,lon,lrp,type,Object Name,distance
14612,B,4.6,74.279,23.48178732,91.04633489,LRP075a,Bridge,Bridge14612,0
14612,B,,74.279,23.48178732,91.04633489,LRP075a,Output@Bridge,Output@Bridge14612,418.173186
172,,,74.7,23.4820827,91.0504167,LRP076a,Road,Road172,130.6381924
173,,,74.829,23.4821382,91.0516944,LRP077,Road,Road173,477.9465688
14613,B,4.6,75.312,23.48174983,91.05635497,LRP076a,Bridge,Bridge14613,0
14613,B,,75.312,23.48174983,91.05635497,LRP076a,Output@Bridge,Output@Bridge14613,274.1024923
174,,,75.589,23.4815271,91.0590278,LRP077a,Road,Road174,238.3218512
175,,,75.829,23.4815549,91.0613611,LRP078,Road,Road175,626.5960185
62,A,1.5,76.481,23.48061309,91.06740977,LRP077a,Bridge,Bridge62,0
62,A,,76.481,23.48061309,91.06740977,LRP077a,Output@Bridge,Output@Bridge62,334.4425999
176,,,76.829,23.4801104,91.0706382,LRP079,Road,Road176,918.0878364
177,,,77.773,23.4770827,91.0789993,LRP079a,Road,Road177,48.63369162
178,,,77.829,23.4770271,91.0794716,LRP080,Road,Road178,542.9224973
12723,C,1,78.382,23.47767229,91.08474064,LRP079a,Bridge,Bridge12723,0
12723,C,,78.382,23.47767229,91.08474064,LRP079a,Output@Bridge,Output@Bridge12723,438.8522638
179,,,78.829,23.4781938,91.0889997,LRP081,Road,Road179,989.8447524
180,,,79.829,23.4775549,91.0986663,LRP082,Road,Road180,506.1753542
181,,,80.342,23.4778604,91.1036111,LRP082a,Road,Road181,196.3694819
182,,,80.829,23.4779993,91.1055278,LRP083,Road,Road182,154.2997663
14614,B,3,80.949,23.4781159,91.10703321,LRP081a,Bridge,Bridge14614,0
14614,B,,80.949,23.4781159,91.10703321,LRP081a,Output@Bridge,Output@Bridge14614,1095.524446
183,,,81.801,23.4789438,91.1177216,LRP083a,Road,Road183,28.53070568
184,,,81.829,23.4789716,91.1179993,LRP084,Road,Road184,17.02553247
185,,,81.846,23.4789716,91.118166,LRP084a,Road,Road185,543.3646651
186,,,82.393,23.4793327,91.1234716,LRP084b,Road,Road186,43.76411268
63,A,1.4,82.437,23.47940839,91.12389208,LRP083a,Bridge,Bridge63,0
63,A,,82.437,23.47940839,91.12389208,LRP083a,Output@Bridge,Output@Bridge63,389.8973911
187,,,82.829,23.4800827,91.1276382,LRP085,Road,Road187,155.8610439
64,A,2.9,82.989,23.47954492,91.12904714,LRP083b,Bridge,Bridge64,0
64,A,,82.989,23.47954492,91.12904714,LRP083b,Output@Bridge,Output@Bridge64,818.279367
188,,,83.829,23.4767216,91.1364441,LRP086,Road,Road188,994.854954
189,,,84.829,23.4682216,91.1394441,LRP087,Road,Road189,1000.493296
190,,,85.829,23.4595833,91.1421386,LRP088,Road,Road190,67.91934011
191,,,85.897,23.459,91.142333,LRP088a,Road,Road191,937.3667799
192,,,86.829,23.4513056,91.1460552,LRP089,Road,Road192,296.7405761
193,,,87.132,23.448833,91.1471386,LRP089a,Road,Road193,24.44171711
194,,,87.156,23.4486386,91.1472497,LRP089b,Road,Road194,209.3999913
195,,,87.366,23.4469441,91.1481386,LRP089c,Road,Road195,389.3618104
